Such a sweet painting! Happy to sell a giclee of it! http://fb.me/1uPPiRMne&nbsp;
Strength of Day Painted at my workshop last weekend in Dallas. http://fb.me/11eBCb5Md&nbsp;
Two at the Raising... also painted at the workshop last weekend.... http://fb.me/LNL4LpgK&nbsp;
Appaloosa in the Wind available through one of my representing galleries in Colorado http://fb.me/1VvDcbAJG&nbsp;
Standing Ground... http://fb.me/6p73v16Fd&nbsp;
Starlight...... http://fb.me/2JRCyW079&nbsp;
Taking the knife doing people like I do horses... The Good People Series began with this one. SOLD Commission... http://fb.me/2IAYd6LGY&nbsp;
Also using the palette knife pull, my wolves that sell in Jackson Hole and in Dallas. This one just sold last... http://fb.me/IhaxnGeD&nbsp;
Crossing the Plains sold at my Colorado Gallery last month as well. Another signature Painted Pony Pull http://fb.me/2M4fWucj0&nbsp;
My Discovery Workshop last weekend. Challenging Artists to go beyond the representational as they approach the...http://fb.me/1vTbeLRol&nbsp;
This was done many years ago and was actually published on a Christmas Card for a law firm in the East. My Winter... http://fb.me/2JHo26K4u&nbsp;
Through the Fall Foliage painted in Oct 2010... http://fb.me/2yzob7yj7&nbsp;
Rites of Spring 7/19/2010... http://fb.me/2gKhbZB7y&nbsp;
Three of Color  6-8-2011... http://fb.me/1M6HXinmW&nbsp;
5/1/2011 Posted on my blog and DP site... Colorado River Ponies... http://fb.me/1UmTpqApM&nbsp;
8/21/2011  Horizon Horses... http://fb.me/1HY6eLEKo&nbsp;
Seven in the Herd  6/30/2010... http://fb.me/1MODAkd5g&nbsp;
Repeat post form last year... I did three 5 x 8 paintings for a law firm in Houston Texas... this is the process...http://fb.me/2hy1PqDLu&nbsp;
My very first painted pony book of my work came out in 2007 on http://Lulu.com&nbsp; and is still available. http://fb.me/2FB6yHRRR&nbsp;
This is the 2008 book filled with my horses from 2007. http://fb.me/2QCGqSV9T&nbsp;
This is my lulu shop with ALL of my books available.  These books contain the best selected pieces of my work... http://fb.me/6igOUzAUl&nbsp;
Back to the studio tomorrow to paint... heading to dinner with family.
Before I forget.. watch this month for a give away of a mid sized painting on my blog. http://fb.me/1iKZqJ61o&nbsp;
17 Summer Herd 2013 Three Ponies in the Meadow Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/NUAws&nbsp;
Three Horses in the Meadow
http://lauriepace.blogspot.com/&nbsp; http://fb.me/1lRPmLl9V&nbsp;
18 Strength of Day Abstract Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/NXPJi&nbsp;
Stop by for the latest available paintings. http://fb.me/2gjcSrbCq&nbsp;
ARTIST OF THE DAY VL and AOT.. PAMELA BLAIES.... http://fb.me/YlyZwmjL&nbsp;
One of the things I have done for years is use my art working with Children, this includes mainstream as well as... http://fb.me/HbXczJiz&nbsp;
A quick note that this page will be unpublished while we are with family the next few weeks.  Blessings to you... http://fb.me/2iNoyxaEX&nbsp;
19 Two at the Raising Contemporary Abstract Horse Painting by Texas Artist Laurie Pace http://nblo.gs/NZah5&nbsp;
Herd on the Occoquan Overlook Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/O06Wx&nbsp;
Indian Paint Pony Abstract Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/O2MMM&nbsp;
Orange Sneakers, Texas Artist Laurie Pace http://nblo.gs/O4x6G&nbsp;
Dipping, Figurative Art by Texas Artist Laurie Pace http://nblo.gs/O5Xt6&nbsp;
Curb Side Discussion by Texas Artist Laurie Justus Pace http://nblo.gs/O7lAF&nbsp;
Strength of Day is going to Maryland to live.  Thank you so much and may this painting be a blessing to you and an... http://fb.me/WG68XaGK&nbsp;
Raw Equine Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/OaEJ6&nbsp;
Two of a Kind, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Ocb4k&nbsp;
Found Love Drawing for a give away painting from Texas Artist Laurie Pace http://nblo.gs/OddO0&nbsp;
Something on the easel... his name is Tucker... and his rider is Bella. http://fb.me/Hx3M5J2J&nbsp;
Register 4 GIVE AWAY painting 24 x 30 http://lauriepace.blogspot.com/2013/08/found-love-drawing-for-give-away.html&nbsp;…
White Stallion Rules, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Oel8O&nbsp;
more progress on the background of Tucker. http://fb.me/2qD9boqeu&nbsp;
NOt done yet... will sit like this until I put the final icing on... http://fb.me/1OleeHdzY&nbsp;
Appy Two contemporary horse paintings by Texas Artist Laurie Pace http://nblo.gs/Ohufh&nbsp;
Water&#39;s Edge Completed by Contemporary Texas Artist Laurie Pace http://nblo.gs/Ohufg&nbsp;
A  Moment Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Ojcgo&nbsp;
I have a winner.... Found Love will be flying to South Carolina to it&#39;s new home.  Thank you to all who participated. http://fb.me/2D23H3PAm&nbsp;
Tucker Begins Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/OkAZ6&nbsp;
Tucker explodes...Horse Paintings at their beginnings by Texas Artist Laurie Pace http://nblo.gs/Oms3u&nbsp;
Tucker forms up... Horse Paintings by contemporary fine artists Laurie Pace http://nblo.gs/OpoFY&nbsp;
Bella&#39;s Song Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Oqx1x&nbsp;
Water&#39;s Edge in Progress by Texas Contemporary Artist Laurie Pace http://nblo.gs/OrIII&nbsp;
Water&#39;s Edge Complete by Texas Artist Laurie Pace http://nblo.gs/OujvV&nbsp;
Blue Moon Wolf beginnings by Contemporary Texas Artist Laurie Pace http://nblo.gs/OwBY0&nbsp;
Blue Moon Wolf Contemporary Wolf Painting by Texas Artist Laurie Pace http://nblo.gs/Oy8kz&nbsp;
Beginnings of a new Horse Painting by Texas Artist Laurie Pace http://nblo.gs/OzyH8&nbsp;
New one started... http://fb.me/22X9th7R2&nbsp;
Horse Paintings White Stallion Running by Texas Artist Laurie Pace http://nblo.gs/OCIjU&nbsp;
White Runner  Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/ODVnj&nbsp;
Check it out on the blog, and see more details and purchasing here:... http://fb.me/2FNdXzVEE&nbsp;
Painting on the move... Ready to purchase. http://fb.me/2JPEas7xS&nbsp;
Mid Summer Night Gathering
Oil on Canvas
32&quot; x 48&quot; http://fb.me/37B8TBVZZ&nbsp;
Beginnings of Making Headway Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OEYOk&nbsp;
Making Headway Contemporary Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OGpDU&nbsp;
For  a short few days... get a print of The Advantage... perfect shopping for the holidays... early! http://fb.me/6sWc1wTkX&nbsp;
For just a few days... early Christmas Shopping! http://fb.me/6iUW7tZfQ&nbsp;
Beginnings of a Pulled Painted Ponies... Contemporary Horse paintings by Texas Artist Laurie Pace http://nblo.gs/OJVKs&nbsp;
Night Runners, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OLmFQ&nbsp;
Seven Strong Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OMzF2&nbsp;
Check out the New Website.  Give my Facebook Page a like too please!http://fb.me/Jrn8LnzE&nbsp;
Watering Hole Contemporary Horse Abstract Paintings by Texas Artist Laurie Pace http://nblo.gs/OOvha&nbsp;
Shiny Red Shoes Contemporary Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OR207&nbsp;
Canadian Three Pack by Texas Artist Laurie Pace, Wolf Paintings http://nblo.gs/OSocq&nbsp;
Horizon Horses Fall Play, Contemporary Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/OU2Gv&nbsp;
Horning In, Bevo Texas Longhorn Painting by Texas Artist Laurie Pace http://nblo.gs/OWRgM&nbsp;
Horsing Around Contemporary Abstract Horse paintings by Texas Artist Laurie Pace http://nblo.gs/OZdsO&nbsp;
Do not miss this figurative painted pull at Mirada Fine Art. http://fb.me/1QApUOtIV&nbsp;
Moonrise Through the Mountains, Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/P0OwR&nbsp;
Fall is in the air... temps are in the low nineties. Stop by and LIKE my FACEBOOK Fan Page and visit my new...http://fb.me/21gkTKAnA&nbsp;
Sunrise Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/P2gqw&nbsp;
Sunrise Contemporary Horse Painting by Texas Artist Laurie Pace http://lauriepace.blogspot.com/2013/09/sunrise-contemporary-horse-painting-by.html#.UjZJhLEn4eo.twitter&nbsp;…
A Herd of Color Contemporary Abstract Horse Painting by Texas Artist Laurie Pace http://nblo.gs/P5Y8I&nbsp;
A Pair... Abstract Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/P6H9h&nbsp;
A Walk in the Garden, Figurative Children Painting by Texas Artist Laurie Pace http://nblo.gs/P8tB3&nbsp;
Direction Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Pao8m&nbsp;
Epsilon Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/PdNKG&nbsp;
Orange Horse Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Pg0l6&nbsp;
Falling into Winter, Contemporary Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/PhC8Q&nbsp;
Headstrong Horse Painting by Texas Artist Laurie Pace http://nblo.gs/PiZYl&nbsp;
Silver&#39;s Gang was painted in the fall of 2011 and it sold within Days of completion.  One of my favorites for... http://fb.me/6rI71sK2m&nbsp;
Just came to the sudden realization that I do not have strong enough files up on FAA for most images...so over the... http://fb.me/TV9DPnX5&nbsp;
Last one before signing off.... till the morrow... party with the RED SHOED PONIES...... http://fb.me/6v4XePI0Y&nbsp;
Contour Drawings with Texas Artist Laurie Pace, Element of Art: Line http://nblo.gs/PkTSl&nbsp;
Appy Fun Revisited from 2007 Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/PnMpN&nbsp;
Watching #cspanchat and loving Sen Cruz from Texas doing a filibuster
Rope Dance, Cowboy Horse Cow Painting, Western Art by Texas Artist Laurie Pace http://nblo.gs/PpLgV&nbsp;
Hesitation in progress, sketch on Canvas, Contemporary Fine Art by Texas Artist Laurie Pace http://nblo.gs/Psj1h&nbsp;
Taking Flight Contemporary Horse Painting in Progress by Texas Artist Laurie Pace http://nblo.gs/Pv8RF&nbsp;
He Brought Me Roses, Contemporary Rose Palette Knife Painting by Texas Artist Laurie Pace http://nblo.gs/PwSE2&nbsp;
Spirit Arabian Gold, Contemporary Horse paintings by Texas Artist Laurie Pace http://nblo.gs/Pydee&nbsp;
Lesson Two for Art... Seven Elements of Art... SHAPES by Texas Artist Laurie Pace http://nblo.gs/PAgx2&nbsp;
White Knight Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/PD52c&nbsp;
Pre Canvas Sketch Sailboats at Sunset, Contemporary Sailboat Painting by Texas Artist Laurie Pace http://nblo.gs/PEQHw&nbsp;
Contemporary Sunset Sailboat Painting by Texas Artist Laurie Pace http://nblo.gs/PGrrk&nbsp;
Contemporary Sunset Sailboat Paintings by Texas Artist Laurie Pace http://nblo.gs/PIIWx&nbsp;
Contemporary Palette Knife Sailboat Paintings by Texas Artist Laurie Pace http://nblo.gs/PLysb&nbsp;
Contemporary Palette Knife Sailboat Paintings by Texas Artist Laurie Pace http://nblo.gs/PMJZ8&nbsp;
FORM is the third Element of Art by Texas Artist Laurie Pace http://nblo.gs/POkc3&nbsp;
Over the Weekend... New Beginnings, Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/PRf1w&nbsp;
Do not miss it! http://fb.me/1X2h8IbgC&nbsp;
Horse Painting in Progress by Texas Artist Laurie Pace http://nblo.gs/PTkzl&nbsp;
Seven in the Sun, Horse Paintings by Texas Artist Laurie pace http://nblo.gs/PUZLF&nbsp;
White Blooms Flower Paintings by Texas Artist Laurie Pace http://nblo.gs/PXdoM&nbsp;
Blooms, Flower Paintings by Texas Artist Laurie Pace http://nblo.gs/PZKTU&nbsp;
Magnolia Flower Painting by Texas Artist Laurie Pace http://nblo.gs/Q0UuJ&nbsp;
Line Shape Form and SPACE, the fourth element of Art by Texas Art Teacher Laurie Pace. http://nblo.gs/Q298d&nbsp;
Mixed Media Collage Horse Paintings by Texas Artist Laurie Justus Pace http://nblo.gs/Q4FyK&nbsp;
Four Black Horses Painting by Texas Artist Laurie Pace http://nblo.gs/Q7zvt&nbsp;
Bathed in Gold, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Q98nM&nbsp;
Abstract Contemporary Paintings by Texas Artist Laurie Pace http://nblo.gs/QaHvq&nbsp;
Red Tulips Painting by Texas Artist Laurie Pace http://nblo.gs/Qd5Bw&nbsp;
Heart Contemporary Fine Art, Heart Paintings by Texas Artist Laurie pace http://nblo.gs/Qf3bS&nbsp;
Line Shape Form Space Value    Value the New Element of Art for this week by Texas Artist Laurie Pace http://nblo.gs/QgBSN&nbsp;
Texas Contemporary Fine Artist Laurie Pace http://lauriepace.blogspot.com/#.UmVjtZ9Fh8I.twitter&nbsp;…
I keep tweaking this. Getting better at the added HTML things. Enjoy.http://fb.me/6uWJRg4KS&nbsp;
Lone Wolf Progressive Wolf Paintings by Texas Artist Laurie Pace http://nblo.gs/QipPQ&nbsp;
Lone Wolf Contemporary Wolf Paintings by Texas Artist Laurie Pace http://nblo.gs/Qllxy&nbsp;
Lone Wolf Saga Painting continues... by Texas Artist Laurie Pace http://nblo.gs/QnXzX&nbsp;
Lone Wolf Contemporary Painting by Texas Artist Laurie Pace http://nblo.gs/QpTXi&nbsp;
Starting the first painting for the two three feet by four feet oil paintings for the Toby Keith Kids Korral in... http://fb.me/37uSrnQ3F&nbsp;
First layers went on this past week on the first painting.  You can donate to the foundation here.  This is one... http://fb.me/2TE1uGf6h&nbsp;
Unfinished Beauty, Flower Painting by Texas Artist Laurie Pace http://nblo.gs/QrZdy&nbsp;
Progress....for the Paintings for Kids Korral
https://www.tobykeithfoundation.org/&nbsp; http://fb.me/LqwqfQTR&nbsp;
Two from the Herd, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Qu8pX&nbsp;
Line Shape Form Space Value Color    COLOR the New Element of Art for this week by Texas Artist Lauri... http://nblo.gs/QvBen&nbsp;
The Journey Painting One for Toby Keith&#39;s Kids Korral in Oklahoma. Horse Paintings by Texas Artist La... http://nblo.gs/Qxzip&nbsp;
Texas Contemporary Fine Artist Laurie Pace  paints for the Toby Keith&#39;s Kids Korral OK http://lauriepace.blogspot.com/#.UnBFMhTwsBk.twitter&nbsp;…
Day Two Horse Paintings for the Kids Korral, Toby Keith Foundation Oklahoma, Texas Artist Laurie Pace http://nblo.gs/QzwKZ&nbsp;
I titled it THE QUEST... almost finished at this point... but I need to start on number two... they are driving... http://fb.me/2uYH3WFL5&nbsp;
Color Horse Paintings  Progress on Paintings by Texas Artist Laurie Pace http://nblo.gs/QBDsa&nbsp;
ON A QUEST Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/QDrpI&nbsp;
More to read today and more to see on the process. http://fb.me/3tJAYC5ir&nbsp;
On a Quest almost finished Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/QFbDH&nbsp;
The Quest Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/QGAoz&nbsp;
Textures, the Last Element of Art by Texas Artist Laurie Pace http://nblo.gs/QI2se&nbsp;
Having a Birthday http://nblo.gs/QKgJD&nbsp;
Texas Contemporary Fine Artist Laurie Pace Having a Birthday! http://lauriepace.blogspot.com/#.UnkMdMWp90w.twitter&nbsp;…
Second Large contemporary horse Painting by Texas Artist Laurie Pace http://nblo.gs/QMIsZ&nbsp;
Update for the Holidays. You might want to watch to keep up as I add more art for the holidays.http://fb.me/1XWeYHw3O&nbsp;
Traveler 30 x 30 oil on canvas... AVAILABLE. http://fb.me/3mNHtZlXD&nbsp;
Progress on Second Contemporary Horse Painting for Toby Keith Foundation Kids Korral by Texas Artist ... http://nblo.gs/QQ7CN&nbsp;
Fearless Together, Contemporary Horse Painting Toby Keith Foundation Oklahoma by Texas Artist Laurie ... http://nblo.gs/QTjmg&nbsp;
Original Palette Knife Wolf Painting by Texas Artist Laurie Pace http://nblo.gs/QTDdz&nbsp;
Intent  Contemporary Horse Painting by Texas Artist Laurie Justus Pace  Available. http://fb.me/31tZkRVau&nbsp;
INTENT Horse Painting by Texas Artist Laurie Justus Pace  Available. Contact me. http://fb.me/1WxzuCEPB&nbsp;
Dawn Rises  Wolf Painting by Texas Artist Laurie Justus Pace  24 x 36 Oil on Canvas. Available. http://fb.me/1TBnqathI&nbsp;
Storm Chasers   Horse Painting by Texas Artist Laurie Justus Pace   16 x 20 inches. Available. http://fb.me/Xp0cJW1e&nbsp;
Left Overs, Contemporary Horse paintings by Texas Artist Laurie Pace http://nblo.gs/QW7tM&nbsp;
Storm Chasers Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/QZ2NS&nbsp;
Art Lesson on line and color by Texas Artist Laurie Pace http://nblo.gs/R1vay&nbsp;
Contemporary Wolf Painting in Progress by Texas Artist Laurie Pace http://nblo.gs/R3Q3q&nbsp;
Find my work featured on page 18ish.... http://fb.me/14Fpjnylg&nbsp;
Actually this works faster...how neat. Got to remember this trick.http://fb.me/2zKEYAvXZ&nbsp;
VL -Visual Language Magazine and Art Tells the Story Contemporary Fine Art http://visuallanguagemagazine.com/#.UoQtH_PbsTE.twitter&nbsp;…
Past and present issues of Visual Language Magazine, VL http://visuallanguagemagazine.com/issues.html#.UoQt92iCrXA.twitter&nbsp;…
Dawn Rising Contemporary Wolf Painting by Texas Artist Laurie Pace http://lauriepace.blogspot.com/2013/11/dawn-rising-contemporary-wolf-painting.html#.UoQwflOy8mI.twitter&nbsp;…
Artists Of Texas Contemporary Paintings and Art http://artistsoftexas.blogspot.com/#.UoQxCauls9o.twitter&nbsp;…
Artists of Texas Home - Daily Painters of Texashttp://www.artistsoftexas.org/#.UoQyWDQrwgE.twitter&nbsp;…
White Runner Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/R7PwA&nbsp;
Head Strong, Colorful Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Ra1rY&nbsp;
Red Poppies on Blue  Large Contemporary Flower Painting of Poppies by Texas Artist Laurie Pace http://nblo.gs/Rb5yq&nbsp;
The Traveler, An Abstract Contemporary Horse Painting by Texas Artist Laurie Pace. http://nblo.gs/RcfDE&nbsp;
Monday Art Lesson with Laurie Pace, and register for free Horse Painting by Wednesday, Nov 20th, 2013. http://nblo.gs/RdyUh&nbsp;
Descent Contemporary Horse Painting by Texas Artist Laurie Pace Holiday Gifts Under $150 http://nblo.gs/Rf1YU&nbsp;
Happy Birthday Kelly Pace http://nblo.gs/RgDhq&nbsp;
In Progress Painting by Texas Artist Laurie Pace http://nblo.gs/RicLx&nbsp;
Golden Rod and Mirada Fine Art Gallery, Denver with Contemporary Equine Artist Laurie Pace http://nblo.gs/RjUvA&nbsp;
Rare Cat Painting by Texas Artist Laurie Pace http://nblo.gs/RlruQ&nbsp;
Reflections of His Glory... Horse Painting by Texas Artist Laurie Pace http://nblo.gs/RnnMj&nbsp;
Monday Lesson on Vacation!  BUT enjoy my 12 Days of Christmas Giveaways starting today. Laurie Pace T... http://nblo.gs/Rqzmr&nbsp;
The 12 Days of Christmas Art Giveaway. Visit my blog to register for all 12 days starting today.  This is the... http://fb.me/2IAS3c3BU&nbsp;
Enjoy my 12 Days of Christmas ART Giveaways starting today. Laurie Pace Texas Artist http://lauriepace.blogspot.com/2013/11/monday-lesson-on-vacation-but-enjoy-my.html#.UpNs_x7okHM.twitter&nbsp;…
12 Days of Christmas Giveaway Painting 2 by Texas Artist Laurie Pace http://nblo.gs/RsItI&nbsp;
Day Three, 12 Days of Christmas Giveaway by Texas Artist Laurie Pace http://nblo.gs/RuueD&nbsp;
Day Three... stop by and see the art for the day... 12 Days of Giveaways... http://fb.me/2uSKshXLW&nbsp;
Day Four Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/Rwc7p&nbsp;
Day Five Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RzdjJ&nbsp;
Day Six Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RAtUs&nbsp;
Day Seven Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RBlAV&nbsp;
Day Eight Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RCp2Q&nbsp;
Day Eight Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace
 http://shar.es/DlwMX&nbsp; via @sharethis
Day Nine Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RFI2W&nbsp;
http://lauriepace.blogspot.com&nbsp;   Only a few more days left to register for free give away paintings in the 12... http://fb.me/2QiFDOe8J&nbsp;
Day NINE... go to the blog and click to sign up for the drawing each day.  Four paintings to go including todays. http://fb.me/2UAlcpuCI&nbsp;
Day Tenth Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RHpM6&nbsp;
Day Eleven of the Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RJ1fs&nbsp;
Enjoy and Thank you Andrew Swift, son of Sallie-Anne Swift.http://fb.me/1ZJoQW0K4&nbsp;
Day Twelve of the Twelve Days of Christmas Art Giveaways by Texas Artist Laurie Pace http://nblo.gs/RL4YF&nbsp;
Here is the video... Enjoy.http://fb.me/1HKAI3ogk&nbsp;
Painting in Progress Ponies on the Ridge Horse Painting by Texas Artist Laurie Pace http://nblo.gs/RNNK5&nbsp;
Progress of Ponies on the Ridge Horse paintings by Texas Artist Laurie Pace http://nblo.gs/ROPcQ&nbsp;
This is the Hardback version of my 8th edition of The Spirit of the Paint, Painted Ponies and More 2014... There... http://fb.me/2yv1AYx5A&nbsp;
This is the less expensive soft back book on Magcloud. http://fb.me/2KTKUvQoA&nbsp;
Limited time... I have three paintings available for Holiday gifts at a good price. http://fb.me/36vPy8yeX&nbsp;
Only for five days... a huge 24 x 36 inches print for $168. http://fb.me/2vx2PYnom&nbsp;
This is number three and it is my most popular horse for prints. http://fb.me/3f9qTC2JZ&nbsp;
True Blue Hydrangeas and Sunflowers by Floral Artist Nancy Medina
 http://shar.es/DPiVE&nbsp; via @sharethis
Beginnings of a commissioned Horse Painting by Texas Artist Laurie Pace http://nblo.gs/RPSxt&nbsp;
Day 2 Commissioned Horse Painting by Texas Artist Laurie Pace http://nblo.gs/RSDGz&nbsp;
Reverence to the Sun, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/RUGV0&nbsp;
Day Four Reverence to the Sun Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/RWfkC&nbsp;
One more day.... http://fb.me/6upezZ9wg&nbsp;
Completion of Reverence to the Sun, a Contemporary Horse Painting by Texas Artist Laurie Pace http://nblo.gs/RXL8P&nbsp;
Heart to Heart Beginnings, Mixed Media Heart Painting by Texas Artist Laurie Pace http://nblo.gs/S0M6b&nbsp;
Progress on Hearts by Texas Artist Laurie Pace, Heart Paintings http://nblo.gs/S1U6H&nbsp;
Progress on Heart Mixed Media Paintings by Texas Artist Laurie Pace http://nblo.gs/S2Tve&nbsp;
Day 1 Orange Horse Painting, Abstract Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/S4aES&nbsp;
Day 2 Extended Gift Giveaway.  Summer Blooms by Texas Artist Laurie Pace http://nblo.gs/S7soc&nbsp;
Day 3 Red Filly, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/S983m&nbsp;
Day 4 Sunflower Painting by Texas Artist Laurie Pace http://nblo.gs/SazmE&nbsp;
Day Three Progression Horse Painting by Texas Artist Laurie Pace http://nblo.gs/Sb0mC&nbsp;
Day 5 Abstract Horse Painting by Texas Artist Laurie Pace http://nblo.gs/SclSA&nbsp;
Last day for free giveaway of this fab painting. http://lauriepace.blogspot.com/#.UrYlmi3wPVo.twitter&nbsp;…
How Great Thou Art, Five Hearts by Texas Artist Laurie Pace, Abstract Heart Painting http://nblo.gs/SeAF0&nbsp;
Abstract Heart Painting by Texas Artist Laurie Pace http://nblo.gs/SfGaf&nbsp;
Video of Painting with Laurie Pace  Joys of Christmas Eve. http://nblo.gs/SgTqE&nbsp;
Unto Us a Child is Born... http://nblo.gs/SjgNa&nbsp;
Whatever You Do... Day One New Painting by Texas Artist Laurie Pace http://nblo.gs/Skq6o&nbsp;
New painting on the easel... drop by to watch the progress. Back in the studio after 10 days of bronchitis ... http://fb.me/RnznWOdl&nbsp;
Day Two Whatever you Do... Contemporary Horse Paintings by Texas Artist Laurie Pace. http://nblo.gs/SlDeR&nbsp;
Watch &quot;How Great Thou Art, Five Hearts by Laurie Pace, Music by Carrie Underwood, &quot;How Great Thou Art&quot;&quot;  Vimeo http://vimeo.com/81770018&nbsp; #Vimeo
Day Three Progression Painting, Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/SmNJD&nbsp;
Day Four Painting Progression, Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Sp6dH&nbsp;
Day Five Progression Painting of  Horse Jumping with Texas Artist Laurie Pace http://nblo.gs/SqixQ&nbsp;
Day Six in Progress Painting of Jumping Horse by Texas Artist Laurie Pace http://nblo.gs/SrsXX&nbsp;
New Years Progress on Contemporary Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Sslg4&nbsp;
Refining Layers of Paint Contemporary Abstract Horse Paintings by Texas Artist Laurie Pace http://nblo.gs/Sv067&nbsp;
Refining the layers on Contemporary Horse Paintings with Texas Artist Laurie Pace http://nblo.gs/Swuba&nbsp;
Bottom layering in this contemporary horse painting by Texas Artist Laurie Pace, Palette knife painting. http://nblo.gs/SxHuw&nbsp;
